group,key,name,family,fallback,male_names,female_names,dynasty_names,source,confidence,note
antq_american_group,antq_american_language,North American,central_algonquian_language_family,inuit_language,Atahualpa|Hiawatha|Kitchi|Nokomis,Awenasa|Mika|Nokomis|Winona,Hopewell|Adena|Dorset,P10;CAH-XI,contested,Regional naming foundation
antq_andean_group,antq_andean_language,Andean,southern_yutonahua_language_family,quechuan_language,Atahualpa|Manco|Rumi|Tupaq,Anahuarque|Cusi|Killa|Mama,Chimu|Moche|Nazca,P10;CAH-XI,contested,Regional naming foundation
antq_austronesian_group,antq_austronesian_language,Austronesian,oceanic_language_family,malay_language,Awang|Kaundinya|Lapu|Raja,Amihan|Indra|Mayari|Puteri,Champa|Funan|Sailendra,P10;CAH-XI,contested,Regional naming foundation
antq_balkan_group,antq_balkan_language,Balkan,slavic_language_family,greek_language,Burebista|Decebalus|Rhoemetalces|Seuthes,Bendis|Meda|Rhemaxos|Zibelmios,Dacian|Odrysian|Triballi,P10;CAH-XI,contested,Regional naming foundation
antq_baltic_group,antq_baltic_language,Baltic,slavic_language_family,baltic_language,Ausis|Kestutis|Mindaugas|Tautvilas,Austeja|Laima|Saule|Zemyna,Aestii|Galindians|Sembians,P10;CAH-XI,contested,Regional naming foundation
antq_berber_group,antq_berber_language,Berber,south_semitic_language_family,arabic_language,Antaeus|Iarbas|Jugurtha|Syphax,Dido|Ifri|Tin|Tiziri,Gaetuli|Garamantes|Mauri,P10;CAH-XI,contested,Regional naming foundation
antq_caucasian_group,antq_caucasian_language,Caucasian,cushitic_language_family,armenian_language,Artaxias|Mithridates|Pharnavaz|Tiridates,Erato|Pharnake|Satenik|Tigranuhi,Artaxiad|Arsacid|Pharnavazid,P10;CAH-XI,secure,Armenian and Kartvelian foundation
antq_celtic_group,antq_celtic_language,Celtic,celtic_language_family,gaelic_language,Arminius|Bran|Caratacus|Vercingetorix,Boudica|Cartimandua|Epona|Medb,Atrebates|Brigantes|Catuvellauni,P10;CAH-XI,contested,Regional naming foundation
antq_germanic_group,antq_germanic_language,Germanic,germanic_language_family,german_language,Arminius|Maroboduus|Segimer|Thusnelda,Albruna|Sunna|Thusnelda|Veleda,Amali|Cherusci|Marcomanni,P10;CAH-XI,contested,Regional naming foundation
antq_hellenic_group,antq_hellenic_language,Hellenic,romance_language_family,greek_language,Alexandros|Demetrios|Herodes|Nikolaos,Alexandra|Berenike|Kleopatra|Theodora,Antigonid|Herodian|Seleucid,P10;CAH-XI,secure,Koine naming foundation
antq_iberian_group,antq_iberian_language,Iberian,romance_language_family,latin_language,Andobales|Indibilis|Mandonius|Orisson,Annia|Iltirta|Tanit|Urbica,Arevaci|Ilergetes|Lusitani,P10;CAH-XI,contested,Regional naming foundation
antq_indian_group,antq_indian_language,Indian,indic_language_family,tamil_language,Azes|Gautamiputra|Kanishka|Rudradaman,Amrapali|Naganika|Prabhavati|Yashodhara,Chola|Kushan|Satavahana,P10;CAH-XI,secure,Prakrit and Tamil naming foundation
antq_iranian_group,antq_iranian_language,Iranian,iranic_language_family,persian_language,Ardashir|Arsaces|Mithridates|Phraates,Musa|Pari|Roxana|Surena,Arsacid|Karen|Suren,P10;CAH-XI,secure,Parthian and Iranian naming foundation
antq_italic_group,antq_italic_language,Italic,romance_language_family,latin_language,Augustus|Gaius|Lucius|Marcus,Antonia|Julia|Livia|Octavia,Claudii|Cornelii|Julii|Valerii,P10;CAH-XI,secure,Republican and imperial Roman naming foundation
antq_japonic_group,antq_japonic_language,Japonic,japonic_language_family,korean_language,Himiko|Nintoku|Suinin|Yamato,Himiko|Iyo|Toyo|Yamato,Wa|Yamatai|Yamato,P10;CAH-XI,contested,Yayoi naming foundation
antq_korean_group,antq_korean_language,Korean,tungusic_language_family,korean_language,Daemusin|Dongmyeong|Yuri|Yuriwang,Seonhwa|Soseono|SuRo|Yuhwa,Buyeo|Goguryeo|Samhan,P10;CAH-XI,contested,Korean naming foundation
antq_mesoamerican_group,antq_mesoamerican_language,Mesoamerican,otomanguean_language_family,maya_language,SpearthrowerOwl|Tikal|YaxKukMo|Zapotec,AtlatlCauac|Ix|LadySixSky|YohlIkNal,Maya|Teotihuacan|Zapotec,P10;CAH-XI,contested,Regional naming foundation
antq_nile_group,antq_nile_language,Nile,eastern_sudanic_language_family,coptic_language,Amanitore|Natakamani|Piye|Shabaka,Amanirenas|Cleopatra|Nitocris|Takhat,Kushite|Lagid|Meroitic,P10;CAH-XI,secure,Egyptian and Kushite naming foundation
antq_oceanic_group,antq_oceanic_language,Oceanic,oceanic_language_family,malay_language,Fatu|Lagi|Maui|Tui,Afa|Hina|Lasoani|Moana,Fiji|Samoa|Tonga,P10;CAH-XI,contested,Western Polynesian naming foundation
antq_semitic_group,antq_semitic_language,Semitic,semitic_language_family,aramaic_language,Abgar|Aretas|Herod|Malichus,Alexandra|Berenice|Mariamne|Salome,Abgarid|Hasmonean|Herodian,P10;CAH-XI,secure,Aramaic and Arabic naming foundation
antq_sinitic_group,antq_sinitic_language,Sinitic,chinese_language_family,classical_chinese_language,Guangwu|Liu|WangMang|Zhang,Ai|Dou|Yin|Zhao,Han|Liu|Wang,P10;BHR,secure,Han naming foundation
antq_slavic_group,antq_slavic_language,Venedi,slavic_language_family,west_slavic_language,Borivoj|Dervan|Miro|Radegast,Dobrawa|Lada|Mila|Vesna,Venedi|Wends|Zeriuani,P10;CAH-XI,contested,Proto-Slavic naming foundation
antq_southeast_asian_group,antq_southeast_asian_language,Southeast Asian,austroasiatic_language_family,mon_language,Kaundinya|SriMara|Suryavarman|Varman,Indradevi|Naga|Soma|Vishnu,Champa|Funan|Pyu,P10;CAH-XI,contested,Regional naming foundation
antq_steppe_group,antq_steppe_language,Steppe,turkic_language_family,mongolian_language,Attila|Balamber|Chanyu|Tanshihuai,Alp|Borte|Toregene|Yue,Xiongnu|Xianbei|Yuezhi,P10;CAH-XI,contested,Steppe naming foundation
antq_subsaharan_group,antq_subsaharan_language,Sub-Saharan,bantu_language_family,mande_language,Anokye|Kofi|Mansa|Sundiata,Abena|Ama|Kandake|Yaa,Akan|Bantu|Mande,P10;CAH-XI,contested,Regional naming foundation
