key,name,group,language,source,confidence,note
antq_religio_romana,Religio Romana,antq_classical_pagan_group,latin_language,P11;CAH-XI,secure,Roman civic polytheism
antq_hellenic,Hellenic Religion,antq_classical_pagan_group,greek_language,P11;CAH-XI,secure,Greek civic polytheism
antq_early_christianity,Early Christianity,antq_christian_group,aramaic_language,P11;CAH-XI,secure,Pre-Nicene Christian communities
antq_judaism,Judaism,antq_abrahamic_group,aramaic_language,P11;OCD,secure,Second Temple Judaism and diaspora
antq_arsacid_zoroastrianism,Arsacid Zoroastrianism,antq_iranian_religion_group,persian_language,P11;CAH-XI,secure,Arsacid syncretic Zoroastrianism
antq_manichaeism,Manichaeism,antq_iranian_religion_group,persian_language,P11;CAH-XI,secure,Manichaean future faith scaffold
antq_theravada,Theravada Buddhism,antq_buddhist_group,sinhala_language,P11;CAH-XI,secure,Lankan Buddhist tradition
antq_mahayana,Mahayana Buddhism,antq_buddhist_group,classical_chinese_language,P11;CAH-XI,secure,Mahayana and Silk Road tradition
antq_brahmanism,Brahmanism,antq_indian_religion_group,persian_language,P11;CAH-XI,secure,Pre-Puranic Hindu tradition
antq_jainism,Jainism,antq_indian_religion_group,persian_language,P11;CAH-XI,secure,Jain communities
antq_chinese_state_cult,Chinese State Cult,antq_east_asian_religion_group,classical_chinese_language,P11;BHR,secure,Confucian rites and folk cults
antq_daoism,Daoist Traditions,antq_east_asian_religion_group,classical_chinese_language,P11;CAH-XI,secure,Daoist future organization scaffold
antq_kami,Kami Worship,antq_east_asian_religion_group,korean_language,P11;CAH-XI,contested,Early Japanese ritual communities
antq_korean_muism,Korean Muism,antq_east_asian_religion_group,korean_language,P11;CAH-XI,contested,Korean ritual communities
antq_tengri,Tengri,antq_steppe_religion_group,mongolian_language,P11;CAH-XI,secure,Steppe sky cults
antq_bon,Bon-Zhangzhung,antq_steppe_religion_group,mongolian_language,P11;CAH-XI,contested,Tibetan highland traditions
antq_kemetic,Kemetic Religion,antq_nile_religion_group,coptic_language,P11;CAH-XI,secure,Egyptian temple religion
antq_kushite_amun,Kushite Amun,antq_nile_religion_group,nubian_language,P11;CAH-XI,secure,Meroitic Kushite state cult
antq_aksumite_paganism,Aksumite Paganism,antq_nile_religion_group,ethiopic_language,P11;CAH-XI,secure,Pre-conversion Aksumite religion
antq_arabian_polytheism,Arabian Polytheism,antq_arabian_religion_group,arabic_language,P11;CAH-XI,secure,Arabian cults and Kaaba tradition
antq_south_arabian_religion,South Arabian Religion,antq_arabian_religion_group,south_arabic_language,P11;CAH-XI,secure,Sabaean and Himyarite cults
antq_punic,Canaanite-Punic Religion,antq_classical_pagan_group,latin_language,P11;CAH-XI,contested,Punic residual communities
antq_celtic_religion,Celtic Religion,antq_european_folk_group,gaelic_language,P11;CAH-XI,secure,Druidic and Celtic cults
antq_germanic_religion,Germanic Religion,antq_european_folk_group,german_language,P11;CAH-XI,secure,Germanic cults
antq_baltic_slavic,Baltic-Slavic Religion,antq_european_folk_group,baltic_language,P11;CAH-XI,contested,Baltic and Venedi cults
antq_finnic,Finnic Religion,antq_european_folk_group,sami_language,P11;CAH-XI,contested,Finnic and Uralic cults
antq_berber_religion,Berber Religion,antq_african_folk_group,arabic_language,P11;CAH-XI,contested,Berber ritual traditions
antq_nile_cushitic,Nilotic-Cushitic Traditions,antq_african_folk_group,nubian_language,P11;CAH-XI,contested,Nilotic and Cushitic traditions
antq_west_african,West African Traditions,antq_african_folk_group,mande_language,P11;CAH-XI,contested,West African religious traditions
antq_bantu_religion,Bantu Traditions,antq_african_folk_group,mande_language,P11;CAH-XI,contested,Bantu religious traditions
antq_mesoamerican,Mesoamerican Religion,antq_american_religion_group,maya_language,P11;CAH-XI,secure,Mesoamerican ritual traditions
antq_andean,Andean Religion,antq_american_religion_group,quechuan_language,P11;CAH-XI,secure,Andean ritual traditions
antq_north_american,North American Animisms,antq_american_religion_group,inuit_language,P11;CAH-XI,contested,North American ritual traditions
antq_siberian,Siberian Shamanism,antq_steppe_religion_group,mongolian_language,P11;CAH-XI,contested,Siberian ritual traditions
antq_austronesian_religion,Austronesian Religion,antq_oceanic_religion_group,malay_language,P11;CAH-XI,contested,Austronesian and Polynesian traditions
antq_australian_dreaming,Australian Dreaming,antq_oceanic_religion_group,inuit_language,P11;CAH-XI,contested,Australian traditions
antq_caribbean,Caribbean Animisms,antq_american_religion_group,cariban_language,P11;CAH-XI,contested,Caribbean ritual traditions
