tag,name,region,regular_land,levy_land,mercenary_land,regular_navy,coastal_locations,patrol_navy,transport_navy,land_floor,levy_floor,mercenary_floor,naval_patrol_floor,naval_transport_floor,inland_exclusion_floor
ROM,Roman Empire,Rome,antq_batavian_auxiliary_cohort;antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_legionaries;antq_roman_alae;antq_roman_marines;antq_roman_sagittarii;antq_roman_scouts;antq_spear_and_shield_infantry,antq_auxilia;antq_district_spear_muster;antq_seasonal_skirmishers,antq_armenian_horse;antq_balearic_slingers;antq_caravan_guard_company;antq_cilician_marines;antq_cretan_archers;antq_dacian_falxmen;antq_frontier_spear_company;antq_galatian_swordsmen;antq_germanic_bodyguards;antq_iberian_swordsmen;antq_numidian_horse_company;antq_syrian_archers;antq_thracian_peltasts,antq_liburnian;antq_merchant_roundship;antq_quinquereme;antq_trireme,abbeville;adra;agde;aix_en_provence;ajaccio;ajdabiya;ajim;akcasehir;al_bayda;al_khums;al_mima;alaiye;albenga;alcacer_do_sal;alcobaca;aleria;alexandria;algeciras;alghero;alicante;almeria;almunecar;amasra;amorgos;ancona;andravida;andritsaina;andros;angelokastron;annaba;antalya;antioch;aquileia;ares_del_maestre;argos;argyrokastro;arles;arques;arta;ascolipiceno;astros;atalanti;athens;atpazari;atri;aumale;aviles;avlonya;avranches;ayamonte;ayasuluk;ayvacik;azeffoun;babadag;bafra;balat;ballsh;bandirma;bar_cg;barca;barcelona;barcelos;bari;barletta;bartin;bastia;bayeux;bayonne;bayramlu;beauvoir;bejaia;benauges;benghazi;bergama;betanzos;beziers;biga;bilbao;bizerte;blain;bodonitsa;bodrum;bonifacio;bordeaux;bosa;boulogne_sur_mer;brac;bracciano;brest;brindisi;bruges;bursa;butrint;cadiz;caen;cagliari;calais;calvi;campagna;canakkale;candia;cangas;cartagena;caserta;cassano;castellon_ampurias;castellon_de_la_plana;castelnau_de_medoc;castelsardo;castropol;catania;catanzaro;cefalu;cephalonia;cesena;cesme;chalandritsa;chania;chateaulin;chatelaudren;chebba;cherbourg;chieti;chioggia;chios;ciudadela_de_menorca;civitavecchia;collo;comacchio;constanta;corfu;coria_del_rio;corinth;corneto;coruna;cotrone;coutances;crikvenica;csantangelo;dakahla;damala;damietta;demetrias;denia;derna;dol;dubrovnik;dunkirk;durres;edremit;el_agheila;el_alamein;el_arish;el_burullus;el_jundi;el_kala;el_milia;el_qoseir;el_tor;elche;elounda;enisala;eregli;eretreia;ermioni;esgueira;faran;faro;fecamp;feira;fermo;ferrol;figueira;finalborgo;finike;finisterre;foca;fontenay;fosdinovo;frejus;gabes;gaeta;gallipoliita;gandia;genoa;gerace;gergeri;gerze;gibraltar;giresun;girgenti;girona;gokabat;gonen;gorele;grasse;grosseto;guerande;hagios_pavlos;hammamet;hatera;hennebont;huelva;hulst;ibiza;ikaria;imbros;inebolu;izmit;iznik;jersey;jijel;jonzac;kalamata;kaliakra;karahisar_i_teke;karpathos;karvuna;karystos;kas;kaseg;kassandreia;kavaje;kavala;kelibia;khupati;kleisoura;kos;kotor;krk;kruje;kure_i_mamure;kymi;kyparissia;kythira;kythnos;la_rochelle;la_teste_de_buch;lagonegro;lagos;lanciano;lapseki;laredo;larino;lavagna;le_faou;lecce;leiria;lemnos;lesparre_medoc;leukas;leuktron;lezha;libourne;lisbon;lisieux;livadeia;livorno;llanes;longueville;lorca;lucca;machecoul;mahdia;mahres;makarska;malaga;malta;manacor;manavgat;manfredonia;mansouria;marbella;marmaris;marseille;martinafr;massa;matera;matruh;mazara;medenine;megara;megri;melgueil;menemen;messina;mestre;metkovic;milas;milos;mimizan;misratah;mistretta;mitilene;modica;modon;mojacar;molyvos;monastir;mondonedo;monemvasia;monopoli;monteleone;montpellier;montreuil;mount_athos;mula;muravera;murcia;mykonos;mystras;nabeul;nafpaktos;nafplio;nantes;naples;narbonne;naxos;negroponte;nicastro;nice;niebla;nimes;noto;novigrad;noya;nuweiba;odemira;oitylo;oleron;oreos;orihuela;oristano;orosei;ostend;pag;palermo;palma;palmi;pangalia;paola;parga;patras;patti;pazin;peniscola;perpignan;pesaro;piombino;pisa;pitigliano;pola;pollensa;polygyros;pont_audemer;pontevedra;pontikokastro;porto;posada;preveza;qaminis;qatya;quimper;quimperle;ras_gharib;ras_lanuf;rashid;ravenna;redon;reggiocal;rentina;rethymno;rijeka;rimini;rize;rochefort;rodos;rome;rossano;rotondo;rovinj;royan;safaga;saint_anthony;saint_brieuc;saint_katrine;saint_malo;saint_paul_anchorite;salacon;salemi;salerno;sallum;salona;samos;samsun;san_sebastian;san_vicente_barquera;sanlucar;sansevero;sant_feliu;santander;santarcangelo;sartene;sarzana;sassari;savona;scalea;sciacca;sejnane;selinti;senj;setubal;sevilla;sfaqes;shkoder;sibenik;sidi_fredj;silli;silves;sines;sinop;sint_niklaas;sirte;siteia;sitges;skikda;slano;smyrna;sousse;split;sporades;st_pol_de_leon;st_sauveur;stomio;suez;surmene;syracuse;tabarka;talmont;tancarville;taranto;tarifa;tarragona;tartas;tavira;tawurgha;tebourba;tedelles;tekouch;tempiopausania;terme;termini;terracina;terralba;terranova_pausania;terranovasic;thasos;thebes;thessaloniki;tinnis;tmimi;tobruk;tolosa;torres_vedras;tortoli;tortosa;tosse;toulon;trapani;tratalias;trebizond;treguier;trieste;tripoli;tulcea;tunis;tuy;udine;unye;urla;uskudar;valencia;vallo;valmaseda;vannes;varna;vasto;velez_malaga;velletri;venice;ventimiglia;veurne;viana_do_castelo;viannos;vico;villa_di_chiesa;villaviciosa;vivero;vonitsa;vostitsa;warrada;xylokastro;yuksekkum;zadar;zakynthos;zarzis;zawiya;zetounion;zliten;zuwarah,antq_liburnian;antq_quinquereme;antq_trireme,antq_merchant_roundship,pass,pass,pass,pass,pass,pass
JUD,Herodian Judea,Levant,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company;antq_syrian_archers,,,,,pass,pass,pass,pass,pass,pass
GAL,Herodian Galilee-Peraea,Levant,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company,,,,,pass,pass,pass,pass,pass,pass
BAT,Herodian Batanea,Levant,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company,,,,,pass,pass,pass,pass,pass,pass
NAB,Nabataea,Arabia,antq_bow_infantry;antq_camelry;antq_household_retainers;antq_javelin_skirmishers;antq_nabataean_caravan_guards;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company,antq_mesopotamian_river_transport;antq_persian_gulf_patrol_craft,al_azlam;al_hawra;al_muwaylih;al_wajh;aynuna;duba;haql;makna;umluj,antq_persian_gulf_patrol_craft,antq_mesopotamian_river_transport,pass,pass,pass,pass,pass,pass
CAP,Cappadocia,Anatolia,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry;antq_thureophoroi,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company;antq_galatian_swordsmen;antq_thracian_peltasts,,,,,pass,pass,pass,pass,pass,pass
COM,Commagene,Anatolia,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry;antq_thureophoroi,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company;antq_galatian_swordsmen;antq_thracian_peltasts,antq_merchant_roundship;antq_trireme,adana;anamur;ayas;corycus;famagusta;iskenderun;kyrenia;larnaca;limassol;morphou;paphos;silifke;tarsus,antq_trireme,antq_merchant_roundship,pass,pass,pass,pass,pass,pass
EME,Emesa,Levant,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry;antq_thureophoroi,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company,,,,,pass,pass,pass,pass,pass,pass
THR,Odrysian Thrace,Balkans,antq_bow_infantry;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_frontier_spear_company,antq_merchant_roundship;antq_trireme,ahtopol;anhialo;burgas;catalca;constantinople;corlu;enez;gallipoli;kesan;kiyikoy;komotini;rodoscuk;rusokastro;silivri;sozopol;traianopolis;xanthia,antq_trireme,antq_merchant_roundship,pass,pass,pass,pass,pass,pass
BOS,Bosporan Kingdom,Pontic,antq_bow_infantry;antq_hellenistic_phalanx;antq_household_retainers;antq_javelin_skirmishers;antq_spear_and_shield_infantry;antq_thureophoroi,antq_district_spear_muster;antq_seasonal_skirmishers,antq_caravan_guard_company;antq_cilician_marines;antq_cretan_archers;antq_frontier_spear_company;antq_galatian_swordsmen;antq_thracian_peltasts,antq_merchant_roundship;antq_pontic_monoxylon_patrol;antq_pontic_river_sea_transport;antq_trireme,aqmecit;kaffa;kezlev;lusta;or_qapi;qirq_yer;soldaia;taman;theodoro;vosporo,antq_pontic_monoxylon_patrol;antq_trireme,antq_merchant_roundship;antq_pontic_river_sea_transport,pass,pass,pass,pass,pass,pass
